YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,Geolocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2020,2020,NY,New York,BRFSS,Tobacco,Quit attempts in the past year among adult current smokers,%,Age-adjusted Prevalence,78.8,78.8,,,66.0,87.7,Race/Ethnicity,"Asian, non-Hispanic",POINT (-75.54397042699964 42.82700103200045),36,TOB,TOB06,AGEADJPREV,RACE,ASN
2022,2022,IL,Illinois,BRFSS,Oral Health,Visited dentist or dental clinic in the past year among adults,%,Age-adjusted Prevalence,65.2,65.2,,,63.3,67.1,Overall,Overall,POINT (-88.99771017799969 40.48501028300046),17,ORH,ORH06,AGEADJPREV,OVERALL,OVR
2016,2020,NE,Nebraska,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause","per 100,000",Age-adjusted Rate,151.2,151.2,,,118.7,189.2,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",POINT (-99.36572062299967 41.6410409880005),31,CAN,CAN08,AGEADJRATE,RACE,AIAN
2019,2019,MA,Massachusetts,PRAMS,Tobacco,Cigarette smoking during pregnancy among women with a recent live birth,%,Crude Prevalence,5.9,5.9,,,4.0,8.6,Race/Ethnicity,"White, non-Hispanic",POINT (-72.08269067499964 42.27687047000046),25,TOB,TOB05,CRDPREV,RACE,WHT
2020,2020,NJ,New Jersey,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults,%,Crude Prevalence,10.7,10.7,,,7.4,15.1,Race/Ethnicity,"Asian, non-Hispanic",POINT (-74.27369128799967 40.13057004800049),34,NPAW,NPW14,CRDPREV,RACE,ASN
2022,2022,KY,Kentucky,BRFSS,Immunization,Influenza vaccination among adults,%,Crude Prevalence,34.2,34.2,,,26.0,43.4,Race/Ethnicity,"Black, non-Hispanic",POINT (-84.77497104799966 37.645970271000465),21,IMM,IMM01,CRDPREV,RACE,BLK
2019,2019,NV,Nevada,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,36.9,36.9,,,33.8,40.1,Race/Ethnicity,"White, non-Hispanic",POINT (-117.07184056399967 39.493240390000494),32,CVD,CVD03,CRDPREV,RACE,WHT
2022,2022,NV,Nevada,BRFSS,Sleep,Short sleep duration among adults,%,Crude Prevalence,32.6,32.6,,,21.6,46.0,Race/Ethnicity,"Asian, non-Hispanic",POINT (-117.07184056399967 39.493240390000494),32,SLEP,SLP03,CRDPREV,RACE,ASN
2019,2019,RI,Rhode Island,BRFSS,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,37.2,37.2,,,23.2,53.9,Sex,Female,POINT (-71.52247031399963 41.70828019300046),44,COPD,COPD02,AGEADJPREV,SEX,SEXF
2020,2020,WA,Washington,BRFSS,Oral Health,Visited dentist or dental clinic in the past year among adults,%,Crude Prevalence,67.6,67.6,,,61.9,72.9,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-120.47001078999972 47.52227862900048),53,ORH,ORH06,CRDPREV,RACE,MRC
2021,2021,CA,California,BRFSS,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among adults,%,Age-adjusted Prevalence,37.4,37.4,,,34.8,40.1,Race/Ethnicity,"White, non-Hispanic",POINT (-120.99999953799971 37.63864012300047),6,NPAW,NPW02,AGEADJPREV,RACE,WHT
2020,2020,WA,Washington,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,68.1,68.1,,,61.7,74.4,Race/Ethnicity,"Asian, non-Hispanic",POINT (-120.47001078999972 47.52227862900048),53,CVD,CVD09,AGEADJRATE,RACE,ASN
2021,2021,KS,Kansas,BRFSS,Diabetes,Diabetes among adults,%,Crude Prevalence,11.2,11.2,,,10.4,12.1,Sex,Male,POINT (-98.20078122699965 38.34774030000045),20,DIA,DIA01,CRDPREV,SEX,SEXM
